Title,Country,Date,Time,Impact,Forecast,Previous
Core CPI y/y,GBP,08-17-2022,6:00am,Low,5.9%,5.8%
CPI y/y,GBP,08-17-2022,6:00am,High,9.9%,9.4%
RPI y/y,GBP,08-17-2022,6:00am,Low,12.0%,11.8%
PPI Input m/m,GBP,08-17-2022,6:00am,Low,0.7%,1.8%
PPI Output m/m,GBP,08-17-2022,6:00am,Low,0.9%,1.4%
HPI y/y,GBP,08-17-2022,8:30am,Low,13.0%,12.8%
Flash GDP q/q,EUR,08-17-2022,9:00am,Low,0.7%,0.7%
Flash Employment Change q/q,EUR,08-17-2022,9:00am,Low,0.4%,0.5%
Core Retail Sales m/m,USD,08-17-2022,12:30pm,High,0.1%,1.0%
Retail Sales m/m,USD,08-17-2022,12:30pm,High,0.2%,1.0%
Business Inventories m/m,USD,08-17-2022,2:00pm,Low,1.4%,1.4%
Crude Oil Inventories,USD,08-17-2022,2:30pm,Low,,5.5M
FOMC Meeting Minutes,USD,08-17-2022,6:00pm,High,,
Unemployment Rate,AUD,08-18-2022,1:30am,High,3.5%,3.5%
Employment Change,AUD,08-18-2022,1:30am,High,26.5K,88.4K
Trade Balance,CHF,08-18-2022,6:00am,Low,3.55B,3.80B
Final Core CPI y/y,EUR,08-18-2022,9:00am,Low,4.0%,4.0%
Final CPI y/y,EUR,08-18-2022,9:00am,Low,8.9%,8.9%
Philly Fed Manufacturing Index,USD,08-18-2022,12:30pm,Medium,-6.2,-12.3
Unemployment Claims,USD,08-18-2022,12:30pm,Medium,265K,262K
IPPI m/m,CAD,08-18-2022,12:30pm,Low,,-1.1%
RMPI m/m,CAD,08-18-2022,12:30pm,Low,,-0.1%
Existing Home Sales,USD,08-18-2022,2:00pm,Medium,4.85M,5.12M
CB Leading Index m/m,USD,08-18-2022,2:00pm,Low,-0.5%,-0.8%
Natural Gas Storage,USD,08-18-2022,2:30pm,Low,,44B
FOMC Member George Speaks,USD,08-18-2022,5:20pm,Medium,,
Trade Balance,NZD,08-18-2022,10:45pm,Low,,-701M
GfK Consumer Confidence,GBP,08-18-2022,11:01pm,Low,-42,-41
National Core CPI y/y,JPY,08-18-2022,11:30pm,Low,2.4%,2.2%
RBNZ Statement of Intent,NZD,08-19-2022,2:03am,Medium,,
Credit Card Spending y/y,NZD,08-19-2022,3:00am,Low,,3.5%
Retail Sales m/m,GBP,08-19-2022,6:00am,Medium,-0.2%,-0.1%
Public Sector Net Borrowing,GBP,08-19-2022,6:00am,Low,25.3B,22.1B
German PPI m/m,EUR,08-19-2022,6:00am,Low,0.9%,0.6%
Current Account,EUR,08-19-2022,8:00am,Low,-3.3B,-4.5B
Retail Sales m/m,CAD,08-19-2022,12:30pm,Medium,,2.2%
Core Retail Sales m/m,CAD,08-19-2022,12:30pm,Medium,,1.9%
